NDate,NTime,MeaValue,Weight,RecNo
2020/9/30 ,0:14:18 ,43.8  ,A,374   
2020/9/30 ,0:14:20 ,44.0  ,A,375   
2020/9/30 ,0:14:22 ,43.9  ,A,376   
2020/9/30 ,0:14:24 ,43.9  ,A,377   
2020/9/30 ,0:14:26 ,43.9  ,A,378   
2020/9/30 ,0:14:28 ,44.0  ,A,379   
2020/9/30 ,0:14:30 ,43.9  ,A,380   
2020/9/30 ,0:14:32 ,43.9  ,A,381   
2020/9/30 ,0:14:34 ,43.8  ,A,382   
2020/9/30 ,0:14:36 ,50.2  ,A,383   
2020/9/30 ,0:14:38 ,53.0  ,A,384   
2020/9/30 ,0:14:40 ,48.0  ,A,385   
2020/9/30 ,0:14:42 ,43.9  ,A,386   
2020/9/30 ,0:14:44 ,43.9  ,A,387   
2020/9/30 ,0:14:46 ,44.1  ,A,388   
2020/9/30 ,0:14:48 ,43.9  ,A,389   
2020/9/30 ,0:14:50 ,43.9  ,A,390   
2020/9/30 ,0:14:52 ,43.9  ,A,391   
2020/9/30 ,0:14:54 ,43.8  ,A,392   
2020/9/30 ,0:14:56 ,43.9  ,A,393   
2020/9/30 ,0:14:58 ,43.9  ,A,394   
2020/9/30 ,0:15:0  ,47.3  ,A,395   
2020/9/30 ,0:15:2  ,44.2  ,A,396   
2020/9/30 ,0:15:4  ,44.6  ,A,397   
2020/9/30 ,0:15:6  ,43.9  ,A,398   
2020/9/30 ,0:15:8  ,44.0  ,A,399   
2020/9/30 ,0:15:10 ,43.9  ,A,400   
2020/9/30 ,0:15:12 ,44.0  ,A,401   
2020/9/30 ,0:15:14 ,44.0  ,A,402   
2020/9/30 ,0:15:16 ,43.9  ,A,403   
2020/9/30 ,0:15:18 ,43.9  ,A,404   
2020/9/30 ,0:15:20 ,44.1  ,A,405   
2020/9/30 ,0:15:22 ,44.0  ,A,406   
2020/9/30 ,0:15:24 ,43.9  ,A,407   
2020/9/30 ,0:15:26 ,43.9  ,A,408   
2020/9/30 ,0:15:28 ,43.9  ,A,409   
2020/9/30 ,0:15:30 ,43.8  ,A,410   
2020/9/30 ,0:15:32 ,44.0  ,A,411   
2020/9/30 ,0:15:34 ,43.9  ,A,412   
2020/9/30 ,0:15:36 ,43.8  ,A,413   
2020/9/30 ,0:15:38 ,43.8  ,A,414   
2020/9/30 ,0:15:40 ,43.8  ,A,415   
2020/9/30 ,0:15:42 ,43.9  ,A,416   
2020/9/30 ,0:15:44 ,43.9  ,A,417   
2020/9/30 ,0:15:46 ,43.9  ,A,418   
2020/9/30 ,0:15:48 ,43.9  ,A,419   
2020/9/30 ,0:15:56 ,44.0  ,A,420   
2020/9/30 ,0:15:58 ,43.9  ,A,421   
2020/9/30 ,0:16:0  ,43.9  ,A,422   
2020/9/30 ,0:16:2  ,44.0  ,A,423   
2020/9/30 ,0:16:4  ,43.9  ,A,424   
2020/9/30 ,0:16:6  ,43.9  ,A,425   
2020/9/30 ,0:16:8  ,43.9  ,A,426   
2020/9/30 ,0:16:10 ,43.9  ,A,427   
2020/9/30 ,0:16:12 ,43.9  ,A,428   
2020/9/30 ,0:16:14 ,44.0  ,A,429   
2020/9/30 ,0:16:16 ,44.0  ,A,430   
2020/9/30 ,0:16:18 ,44.0  ,A,431   
2020/9/30 ,0:16:20 ,43.9  ,A,432   
2020/9/30 ,0:16:22 ,43.8  ,A,433   
2020/9/30 ,0:16:24 ,44.0  ,A,434   
2020/9/30 ,0:16:26 ,43.8  ,A,435   
2020/9/30 ,0:16:28 ,43.9  ,A,436   
2020/9/30 ,0:16:30 ,43.9  ,A,437   
2020/9/30 ,0:16:32 ,43.8  ,A,438   
2020/9/30 ,0:16:34 ,43.7  ,A,439   
2020/9/30 ,0:16:36 ,43.9  ,A,440   
2020/9/30 ,0:16:38 ,43.8  ,A,441   
